state,year,first_name,last_name,party,sex,died,status,win_margin,region,outcome,election_age,death_age,lived_after
Alabama,1851,Henry,Collier,Democrat,Male,1855-08-28,Challenger,73.40211432140461,South,Win,50.79808350444901,54.60917180013689,3.811088295687885
Alabama,1853,John,Winston,Democrat,Male,1871-12-21,Challenger,46.11247428557266,South,Win,41.16906228610541,59.29363449691992,18.12457221081451
Alabama,1855,John,Winston,Democrat,Male,1871-12-21,Challenger,15.580930330456743,South,Win,43.167693360711844,59.29363449691992,16.125941136208077
Alabama,1857,Andrew,Moore,Democrat,Male,1873-04-05,Challenger,100,South,Win,50.666666666666664,66.080766598220393,15.41409993155373
Alabama,1859,Andrew,Moore,Democrat,Male,1873-04-05,Challenger,45.554314706815006,South,Win,52.6652977412731,66.080766598220393,13.415468856947296
Alabama,1861,John,Shorter,Democrat,Male,1872-05-29,Challenger,15.2310892701016,South,Win,43.53730321697468,54.09993155373032,10.562628336755647
Alabama,1863,John,Shorter,Democrat,Male,1872-05-29,Challenger,-48.955499801927914,South,Lose,45.53593429158111,54.09993155373032,8.563997262149213
Alabama,1868,William,Smith,Republican,Male,1899-01-01,Challenger,100,South,Win,42.5242984257358,72.67898699520876,30.154688569472963
Alabama,1870,Robert,Lindsay,Democrat,Male,1902-02-13,Challenger,0.9356839063666698,South,Win,46.338124572210816,77.60985626283367,31.27173169062286
Alabama,1870,William,Smith,Republican,Male,1899-01-01,Challenger,-0.9356839063666698,South,Lose,44.52292950034223,72.67898699520876,28.15605749486653
Alabama,1872,David,Lewis,Republican,Male,1884-07-03,Challenger,4.962070556356906,South,Win,52.84599589322382,64.50376454483231,11.657768651608487
Alabama,1874,George,Houston,Democrat,Male,1879-12-31,Challenger,6.560687603831958,South,Win,63.800136892539356,68.95277207392198,5.152635181382615
Alabama,1874,David,Lewis,Republican,Male,1884-07-03,Challenger,-6.560687603831958,South,Lose,54.84462696783025,64.50376454483231,9.659137577002053
Alabama,1876,George,Houston,Democrat,Male,1879-12-31,Challenger,26.774195669469968,South,Win,65.80150581793292,68.95277207392198,3.1512662559890487
Alabama,1878,Rufus,Cobb,Democrat,Male,1913-11-26,Challenger,100,South,Win,49.69199178644764,84.74743326488706,35.05544147843943
Alabama,1880,Rufus,Cobb,Democrat,Male,1913-11-26,Challenger,52.20457160908907,South,Win,51.6933607118412,84.74743326488706,33.054072553045856
Alabama,1882,Edward,O'neal,Democrat,Male,1890-11-07,Challenger,37.40986482234081,South,Win,64.12594113620807,72.13141683778234,8.005475701574264
Alabama,1884,Edward,O'neal,Democrat,Male,1890-11-07,Challenger,100,South,Win,66.12731006160165,72.13141683778234,6.0041067761806985
Alabama,1886,Thomas,Seay,Democrat,Male,1896-03-30,Challenger,59.54323539760731,South,Win,39.95893223819302,49.35797399041752,9.399041752224504
Alabama,1888,Thomas,Seay,Democrat,Male,1896-03-30,Challenger,55.44448873828982,South,Win,41.960301163586585,49.35797399041752,7.397672826830938
Alabama,1890,Thomas,Jones,Democrat,Male,1914-04-28,Challenger,53.4939084930034,South,Win,45.94113620807666,69.4154688569473,23.474332648870636
Alabama,1890,Benjamin,Long,Republican,Male,1903-06-17,Challenger,-53.4939084930034,South,Lose,63.00068446269678,75.61122518822724,12.61054072553046
Alabama,1892,Thomas,Jones,Democrat,Male,1914-04-28,Challenger,4.624475147000041,South,Win,47.94250513347023,69.4154688569473,21.472963723477072
Alabama,1894,William,Oates,Democrat,Male,1910-09-09,Challenger,14.205812522210266,South,Win,58.92950034223135,74.77070499657769,15.841204654346338
Alabama,1896,Joseph,Johnston,Democrat,Male,1913-08-08,Challenger,18.0220254408072,South,Win,53.62354551676933,70.37645448323066,16.752908966461327
Alabama,1898,Joseph,Johnston,Democrat,Male,1913-08-08,Challenger,37.6699065397284,South,Win,55.62217659137577,70.37645448323066,14.754277891854894
Alabama,1900,William,Samford,Democrat,Male,1901-06-11,Challenger,60.54282368685179,South,Win,56.134154688569474,56.73100616016427,0.5968514715947981
Alabama,1902,William,Jelks,Democrat,Male,1931-12-13,Challenger,47.441728873316066,South,Win,46.992470910335385,76.09582477754962,29.10335386721424
Alabama,1906,Braxton,Comer,Democrat,Male,1927-08-15,Challenger,71.96505814280096,South,Win,57.99041752224504,78.76522929500342,20.774811772758383
