name,sex,ethnicity,quality,call,city,jobs,experience,honors,holes,special
Allison,female,cauc,low,no,chicago,2,6,no,yes,no
Kristen,female,cauc,high,no,chicago,3,6,no,no,no
Lakisha,female,afam,low,no,chicago,1,6,no,no,no
Latonya,female,afam,high,no,chicago,4,6,no,yes,yes
Carrie,female,cauc,high,no,chicago,3,22,no,no,no
Jay,male,cauc,low,no,chicago,2,6,yes,no,yes
Jill,female,cauc,high,no,chicago,2,5,no,no,yes
Kenya,female,afam,high,no,chicago,4,21,no,yes,yes
Latonya,female,afam,low,no,chicago,3,3,no,no,yes
Tyrone,male,afam,high,no,chicago,2,6,no,no,yes
Aisha,female,afam,high,no,chicago,4,8,no,yes,yes
Allison,female,cauc,high,no,chicago,4,8,no,no,no
Aisha,female,afam,low,no,chicago,4,4,no,yes,yes
Carrie,female,cauc,low,no,chicago,2,4,no,no,no
Aisha,female,afam,high,no,chicago,2,5,no,no,yes
Geoffrey,male,cauc,low,no,chicago,3,4,no,no,yes
Matthew,male,cauc,high,no,chicago,3,5,no,no,no
Tamika,female,afam,low,no,chicago,3,6,no,no,yes
Jill,female,cauc,high,no,chicago,2,6,yes,no,yes
Latonya,female,afam,low,no,chicago,2,8,no,yes,no
Leroy,male,afam,high,no,chicago,3,4,no,no,yes
Todd,male,cauc,low,no,chicago,3,3,no,no,yes
Allison,female,cauc,low,no,chicago,2,2,no,no,no
Carrie,female,cauc,low,no,chicago,3,7,no,yes,no
Greg,male,cauc,high,no,chicago,3,3,no,no,yes
Keisha,female,afam,low,no,chicago,4,6,no,yes,no
Keisha,female,afam,high,no,chicago,3,4,no,no,yes
Kristen,female,cauc,high,no,chicago,4,6,no,yes,yes
Lakisha,female,afam,high,no,chicago,3,7,no,no,no
Tamika,female,afam,low,no,chicago,3,2,no,no,yes
Allison,female,cauc,low,no,chicago,2,6,no,no,no
Keisha,female,afam,low,no,chicago,4,6,no,no,no
Kristen,female,cauc,high,no,chicago,2,9,no,yes,no
Latonya,female,afam,high,no,chicago,3,6,yes,yes,no
Brad,male,cauc,low,no,chicago,2,4,no,no,no
Jill,female,cauc,high,no,chicago,3,5,no,no,no
Keisha,female,afam,low,no,chicago,3,4,no,yes,no
Keisha,female,afam,low,no,chicago,3,3,no,no,yes
Lakisha,female,afam,high,no,chicago,3,4,no,no,no
Laurie,female,cauc,high,no,chicago,3,5,no,no,yes
Meredith,female,cauc,low,no,chicago,2,5,yes,yes,no
Tyrone,male,afam,high,no,chicago,3,5,no,no,yes
Anne,female,cauc,high,no,chicago,4,7,no,yes,no
Emily,female,cauc,low,no,chicago,4,6,no,no,no
Latoya,female,afam,low,no,chicago,4,5,no,yes,yes
Tamika,female,afam,high,no,chicago,2,7,no,yes,no
Brad,male,cauc,high,no,chicago,2,4,no,yes,yes
Latoya,female,afam,high,no,chicago,3,5,no,no,yes
Kristen,female,cauc,low,no,chicago,3,4,no,yes,no
Latonya,female,afam,high,no,chicago,3,5,no,no,yes
Latoya,female,afam,low,no,chicago,4,6,no,yes,no
Laurie,female,cauc,high,no,chicago,3,6,no,no,no
Allison,female,cauc,low,no,chicago,5,13,no,yes,yes
Ebony,female,afam,low,no,chicago,2,19,yes,yes,yes
Jay,male,cauc,high,no,chicago,3,5,no,no,no
Keisha,female,afam,high,no,chicago,5,7,no,yes,yes
Laurie,female,cauc,high,no,chicago,4,21,no,yes,no
Tyrone,male,afam,high,no,chicago,3,5,no,no,yes
Anne,female,cauc,low,no,chicago,4,4,no,yes,yes
Lakisha,female,afam,high,no,chicago,3,5,no,no,yes
Latonya,female,afam,low,no,chicago,4,6,no,no,no
Meredith,female,cauc,high,no,chicago,3,5,no,no,no
Allison,female,cauc,high,no,chicago,2,5,no,no,yes
Carrie,female,cauc,low,no,chicago,2,6,no,no,no
Ebony,female,afam,high,no,chicago,3,6,no,no,no
Kenya,female,afam,low,no,chicago,4,6,no,yes,yes
Lakisha,female,afam,high,no,chicago,3,6,yes,yes,no
Laurie,female,cauc,high,no,chicago,3,4,no,no,no
