cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,evprob_inc,evprob_chal,evprob_3rd,total_ev,timestamp,simulations
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.0014,.00005,,99,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.00195,.000075,,98,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.0031,.000075,,97,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.0017,0,,96,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.001075,.00005,,95,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.00345,.00005,,94,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.001625,.00005,,93,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.002225,.000025,,92,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.001875,.000075,,91,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.001125,.00015,,90,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.000225,0,,9,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.00185,.000025,,89,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.002275,.000025,,88,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.001175,.000175,,87,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.002225,.000125,,86,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.0015,0,,85,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.00085,0,,84,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.00195,.000025,,83,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.00185,0,,82,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.001,0,,81,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.00175,.000025,,80,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.000375,0,,8,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.000925,0,,79,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.000725,0,,78,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.0018,0,,77,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.001725,.000025,,76,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.001375,.00005,,75,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.001375,.000025,,74,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.000875,0,,73,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.001025,.000075,,72,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.0011,0,,71,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.001275,0,,70,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.0001,0,,7,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.0013,0,,69,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.000725,.00005,,68,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.000525,.000025,,67,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.001125,.000025,,66,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.0011,.00005,,65,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.000825,.000025,,64,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.00145,.00005,,63,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.000925,.000025,,62,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.000825,.000025,,61,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.001025,.000025,,60,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.000025,.00005,,6,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.001125,.000025,,59,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.00065,0,,58,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.000775,.000025,,57,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.000725,.000025,,56,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.00105,0,,55,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.00085,0,,54,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",0,.00005,,538,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",0,.00025,,537,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",0,0,,536,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",0,0,,535,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",0,.00085,,534,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",0,.000075,,533,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",.00005,.000025,,532,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",0,.0001,,531,15:19:03 13 Aug 2020,40000
2020,President,polls-plus,8/13/2020,Trump,Biden,"",0,.000375,,530,15:19:03 13 Aug 2020,40000
